time elapsed;power;
1;8,98;
2;8,96;
3;8,97;
4;8,96;
5;8,96;
6;8,97;
7;8,96;
8;8,97;
9;8,97;
10;8,96;
11;8,96;
12;8,96;
13;8,97;
14;8,96;
15;8,97;
16;8,98;
17;8,97;
18;9,0;
19;8,95;
20;8,98;
21;8,98;
22;8,95;
23;9,0;
24;8,98;
25;8,99;
26;8,94;
27;8,95;
28;8,97;
29;8,97;
30;8,95;
31;8,98;
32;8,98;
33;8,95;
34;8,95;
35;8,96;
36;8,98;
37;8,95;
38;8,96;
39;8,97;
40;8,97;
41;8,96;
42;8,98;
43;8,97;
44;8,98;
45;8,98;
46;8,97;
47;8,96;
48;10,18;
49;8,94;
50;8,96;
51;8,96;
52;8,96;
53;8,99;
54;8,97;
55;8,96;
56;9,03;
57;8,96;
58;8,98;
59;9,01;
60;8,97;
61;8,98;
62;8,99;
63;8,98;
64;8,97;
65;8,97;
66;8,95;
67;8,95;
68;8,98;
69;8,95;
70;8,97;
71;9,02;
72;8,96;
73;8,97;
74;9,0;
75;8,95;
76;8,96;
77;8,97;
78;8,96;
79;8,93;
80;8,98;
81;8,98;
82;8,94;
83;8,99;
84;8,94;
85;8,95;
86;9,0;
87;8,96;
88;8,99;
89;9,01;
90;8,95;
91;8,96;
92;8,97;
93;8,97;
94;8,95;
95;8,97;
96;8,96;
97;8,97;
98;9,0;
99;8,94;
100;8,99;
101;8,99;
102;8,96;
103;8,96;
104;8,99;
105;8,96;
106;8,96;
107;8,99;
108;9,29;
109;8,97;
110;8,98;
111;8,95;
112;8,95;
113;9,0;
114;8,98;
115;8,97;
116;8,99;
117;8,97;
118;8,97;
119;9,0;
120;8,97;
